request,workerid,order,prob_rating,audio,catch_trial,mood,condtion,modal,text,check1,image,check2,seat
./stim/text/text-2.png,6,0,0.98,./stim/audio/angry_probably2_s2.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_10_7.png,./stim/images/exposure_10_7.png,./stim/images/exposure_75_7.png,an aisle seat (blue)
./stim/text/text-1.png,6,1,0.92,./stim/audio/angry_probably1_s2.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_7.png,./stim/images/exposure_90_7.png,./stim/images/exposure_90_7.png,a window seat (red)
./stim/text/text-1.png,6,0,0.48,./stim/audio/angry_might1_s2.mp3,1,pessimist,3,might,You might get one.,./stim/images/exposure_60_2.png,./stim/images/exposure_60_2.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-2.png,6,0,0.54,./stim/audio/angry_might2_s2.mp3,1,pessimist,3,might,You might get one.,./stim/images/exposure_40_2.png,./stim/images/exposure_40_2.png,./stim/images/prob_100_1.png,an aisle seat (blue)
./stim/text/text-2.png,6,0,0.93,./stim/audio/angry_probably2_s2.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_10_2.png,./stim/images/exposure_10_2.png,./stim/images/exposure_75_2.png,an aisle seat (blue)
./stim/text/text-1.png,6,1,1,./stim/audio/angry_bare_s2.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/exposure_60_7.png,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-1.png,6,1,0.86,./stim/audio/angry_probably1_s2.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_2.png,./stim/images/exposure_90_2.png,./stim/images/exposure_90_2.png,a window seat (red)
./stim/text/text-1.png,6,1,0.99,./stim/audio/angry_bare_s2.mp3,1,pessimist,3,bare,You'll get one.,./stim/images/exposure_60_2.png,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-2.png,6,1,0.49,./stim/audio/angry_might2_s2.mp3,0,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_40_3.png,./stim/images/exposure_40_3.png,an aisle seat (blue)
./stim/text/text-1.png,6,1,1,./stim/audio/angry_bare_s2.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/exposure_60_3.png,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,a window seat (red)
